well-formed targets in the exhaustive domain: 234
combinations in the full domain (clients x targets x probe outcomes x caller Worlds x start paths x redelivery): 33696
SEQUENTIAL server: profile | client | probe | start path | stamp/final (caller World 8, no redelivery) | verdict
pre3 | current(#4327) | answered | fresh | stamp=2 final=2 | ok
pre3 | current(#4327) | answered | run_created-late | stamp=2 final=2 | ok
pre3 | current(#4327) | answered | resilient | stamp=2 final=2 | ok
pre3 | current(#4327) | timeout | fresh | stamp=6 final=6 | BRICK
pre3 | current(#4327) | timeout | run_created-late | stamp=6 final=6 | BRICK
pre3 | current(#4327) | timeout | resilient | stamp=6 final=6 | BRICK
pre3 | current(#4327) | no-channel | fresh | stamp=6 final=6 | BRICK
pre3 | current(#4327) | no-channel | run_created-late | stamp=6 final=6 | BRICK
pre3 | current(#4327) | no-channel | resilient | stamp=6 final=6 | BRICK
pre3 | proposed(floor3) | answered | fresh | stamp=2 final=2 | ok
pre3 | proposed(floor3) | answered | run_created-late | stamp=2 final=2 | ok
pre3 | proposed(floor3) | answered | resilient | stamp=2 final=2 | ok
pre3 | proposed(floor3) | timeout | fresh | stamp=3 final=3 | BRICK
pre3 | proposed(floor3) | timeout | run_created-late | stamp=3 final=3 | BRICK
pre3 | proposed(floor3) | timeout | resilient | stamp=3 final=3 | BRICK
pre3 | proposed(floor3) | no-channel | fresh | stamp=3 final=3 | BRICK
pre3 | proposed(floor3) | no-channel | run_created-late | stamp=3 final=3 | BRICK
pre3 | proposed(floor3) | no-channel | resilient | stamp=3 final=3 | BRICK
stable | current(#4327) | answered | fresh | stamp=3 final=3 | ok
stable | current(#4327) | answered | run_created-late | stamp=3 final=3 | ok
stable | current(#4327) | answered | resilient | stamp=3 final=3 | ok
stable | current(#4327) | timeout | fresh | stamp=6 final=6 | BRICK
stable | current(#4327) | timeout | run_created-late | stamp=6 final=6 | BRICK
stable | current(#4327) | timeout | resilient | stamp=6 final=6 | BRICK
stable | current(#4327) | no-channel | fresh | stamp=6 final=6 | BRICK
stable | current(#4327) | no-channel | run_created-late | stamp=6 final=6 | BRICK
stable | current(#4327) | no-channel | resilient | stamp=6 final=6 | BRICK
stable | proposed(floor3) | answered | fresh | stamp=3 final=3 | ok
stable | proposed(floor3) | answered | run_created-late | stamp=3 final=3 | ok
stable | proposed(floor3) | answered | resilient | stamp=3 final=3 | ok
stable | proposed(floor3) | timeout | fresh | stamp=3 final=3 | ok
stable | proposed(floor3) | timeout | run_created-late | stamp=3 final=3 | ok
stable | proposed(floor3) | timeout | resilient | stamp=3 final=3 | ok
stable | proposed(floor3) | no-channel | fresh | stamp=3 final=3 | ok
stable | proposed(floor3) | no-channel | run_created-late | stamp=3 final=3 | ok
stable | proposed(floor3) | no-channel | resilient | stamp=3 final=3 | ok
v5head | current(#4327) | answered | fresh | stamp=7 final=7 | ok
v5head | current(#4327) | answered | run_created-late | stamp=7 final=7 | ok
v5head | current(#4327) | answered | resilient | stamp=7 final=7 | ok
v5head | current(#4327) | timeout | fresh | stamp=6 final=6 | ok
v5head | current(#4327) | timeout | run_created-late | stamp=6 final=6 | ok
v5head | current(#4327) | timeout | resilient | stamp=6 final=6 | ok
v5head | current(#4327) | no-channel | fresh | stamp=6 final=6 | ok
v5head | current(#4327) | no-channel | run_created-late | stamp=6 final=6 | ok
v5head | current(#4327) | no-channel | resilient | stamp=6 final=6 | ok
v5head | proposed(floor3) | answered | fresh | stamp=7 final=7 | ok
v5head | proposed(floor3) | answered | run_created-late | stamp=7 final=7 | ok
v5head | proposed(floor3) | answered | resilient | stamp=7 final=7 | ok
v5head | proposed(floor3) | timeout | fresh | stamp=3 final=3 | BRICK
v5head | proposed(floor3) | timeout | run_created-late | stamp=3 final=3 | BRICK
v5head | proposed(floor3) | timeout | resilient | stamp=3 final=3 | BRICK
v5head | proposed(floor3) | no-channel | fresh | stamp=3 final=3 | BRICK
v5head | proposed(floor3) | no-channel | run_created-late | stamp=3 final=3 | BRICK
v5head | proposed(floor3) | no-channel | resilient | stamp=3 final=3 | BRICK
v5headKill | current(#4327) | answered | fresh | stamp=6 final=6 | ok
v5headKill | current(#4327) | answered | run_created-late | stamp=6 final=6 | ok
v5headKill | current(#4327) | answered | resilient | stamp=6 final=6 | ok
v5headKill | current(#4327) | timeout | fresh | stamp=6 final=6 | ok
v5headKill | current(#4327) | timeout | run_created-late | stamp=6 final=6 | ok
v5headKill | current(#4327) | timeout | resilient | stamp=6 final=6 | ok
v5headKill | current(#4327) | no-channel | fresh | stamp=6 final=6 | ok
v5headKill | current(#4327) | no-channel | run_created-late | stamp=6 final=6 | ok
v5headKill | current(#4327) | no-channel | resilient | stamp=6 final=6 | ok
v5headKill | proposed(floor3) | answered | fresh | stamp=6 final=6 | ok
v5headKill | proposed(floor3) | answered | run_created-late | stamp=6 final=6 | ok
v5headKill | proposed(floor3) | answered | resilient | stamp=6 final=6 | ok
v5headKill | proposed(floor3) | timeout | fresh | stamp=3 final=3 | BRICK
v5headKill | proposed(floor3) | timeout | run_created-late | stamp=3 final=3 | BRICK
v5headKill | proposed(floor3) | timeout | resilient | stamp=3 final=3 | BRICK
v5headKill | proposed(floor3) | no-channel | fresh | stamp=3 final=3 | BRICK
v5headKill | proposed(floor3) | no-channel | run_created-late | stamp=3 final=3 | BRICK
v5headKill | proposed(floor3) | no-channel | resilient | stamp=3 final=3 | BRICK
v5main | current(#4327) | answered | fresh | stamp=8 final=8 | ok
v5main | current(#4327) | answered | run_created-late | stamp=8 final=8 | ok
v5main | current(#4327) | answered | resilient | stamp=8 final=8 | ok
v5main | current(#4327) | timeout | fresh | stamp=6 final=8 | ok
v5main | current(#4327) | timeout | run_created-late | stamp=6 final=6 | ok
v5main | current(#4327) | timeout | resilient | stamp=6 final=6 | ok
v5main | current(#4327) | no-channel | fresh | stamp=6 final=8 | ok
v5main | current(#4327) | no-channel | run_created-late | stamp=6 final=6 | ok
v5main | current(#4327) | no-channel | resilient | stamp=6 final=6 | ok
v5main | proposed(floor3) | answered | fresh | stamp=8 final=8 | ok
v5main | proposed(floor3) | answered | run_created-late | stamp=8 final=8 | ok
v5main | proposed(floor3) | answered | resilient | stamp=8 final=8 | ok
v5main | proposed(floor3) | timeout | fresh | stamp=3 final=8 | ok
v5main | proposed(floor3) | timeout | run_created-late | stamp=3 final=3 | BRICK
v5main | proposed(floor3) | timeout | resilient | stamp=3 final=3 | BRICK
v5main | proposed(floor3) | no-channel | fresh | stamp=3 final=8 | ok
v5main | proposed(floor3) | no-channel | run_created-late | stamp=3 final=3 | BRICK
v5main | proposed(floor3) | no-channel | resilient | stamp=3 final=3 | BRICK
v5mainKill | current(#4327) | answered | fresh | stamp=6 final=6 | ok
v5mainKill | current(#4327) | answered | run_created-late | stamp=6 final=6 | ok
v5mainKill | current(#4327) | answered | resilient | stamp=6 final=6 | ok
v5mainKill | current(#4327) | timeout | fresh | stamp=6 final=6 | ok
v5mainKill | current(#4327) | timeout | run_created-late | stamp=6 final=6 | ok
v5mainKill | current(#4327) | timeout | resilient | stamp=6 final=6 | ok
v5mainKill | current(#4327) | no-channel | fresh | stamp=6 final=6 | ok
v5mainKill | current(#4327) | no-channel | run_created-late | stamp=6 final=6 | ok
v5mainKill | current(#4327) | no-channel | resilient | stamp=6 final=6 | ok
v5mainKill | proposed(floor3) | answered | fresh | stamp=6 final=6 | ok
